"chrom","window","MDS1","MDS2"
"NW_022145601.1",1,-0.0114910743815519,0.00894575834855019
"NW_022145601.1",2,-0.0114208114540199,0.00653319935401081
"NW_022145601.1",3,-0.00573994180867348,0.018492232217901
"NW_022145601.1",4,0.00518695951692855,0.00651495517235227
"NW_022145601.1",5,0.0234501723155873,0.0061319014313173
"NW_022145601.1",6,-0.000742618422965781,0.00228914828128297
"NW_022145601.1",7,-0.00665924974798728,-0.0015731449287769
"NW_022145601.1",8,-0.0114010921431066,-0.054399164130327
"NW_022145601.1",9,-0.00902153877487933,0.0012591625545251
"NW_022145601.1",10,0.0143224190852109,0.00520738243432596
"NW_022145601.1",11,-0.000556188062821017,-0.0535970257068126
"NW_022145601.1",12,-0.0134499419051396,0.0201115774518324
"NW_022145601.1",13,0.0130825177026915,0.00517111244347293
"NW_022145601.1",14,0.00240940333104387,0.0164306169955449
"NW_022145601.1",15,-0.0137957153067917,-0.0167807389443014
"NW_022145601.1",16,-0.000814764192899058,-0.0587776990401587
"NW_022145601.1",17,-0.0130676364776447,0.0183548554124204
"NW_022145601.1",18,-0.00101168917414852,0.0117623809358391
"NW_022145601.1",19,0.0149495416984848,0.00945971478634586
"NW_022145601.1",20,-0.0123226329262572,0.0055736389060304
"NW_022145601.1",21,0.0471229434435631,-0.00779982373818544
"NW_022145601.1",22,-0.00593970774651457,0.0160227502972636
"NW_022145601.1",23,-0.0161815583851549,0.00165907089194503
"NW_022145601.1",24,-0.00391726022791101,0.00615205329868017
"NW_022145601.1",25,-0.00327977941729563,0.0109746141844467
"NW_022145601.1",26,-0.0145746401618308,-0.0123338224109342
"NW_022145601.1",27,-0.0164685454125081,-0.00816170686267858
"NW_022145601.1",28,-0.00647921224060148,-0.0149454246523791
"NW_022145601.1",29,-0.00285679764675741,0.0113343332224755
"NW_022145601.1",30,0.00022587609558237,0.0081268152361426
"NW_022145601.1",31,0.00133930111612019,0.00409367962109388
"NW_022145601.1",32,-0.0110991458357577,0.0103725692543492
"NW_022145601.1",33,-0.0156204611479788,-0.0129451716056871
